ns life 0	you will suffer when you are in ns life
ord 1	Exactly a month a ago . #ordohh #ord #scdf #myscdf #clerk #noreservistformeplease @ Singapore Civil
national service resort country club 1	Eileen's 21st @ National Service Resort Country Club
ocs 1	Another OCS parade coming this Sun and Ive yet to go for the rehearsal .
army boys 1	so many army boys in da train tdy
ord 1	@HouseOfCunts Cant leh . U and alas ORD alr anot ?
tekong 1	@anyabeh @Have_Zero_Fear tekong they playing full court . So call training
bookout 1	Nk bookout pls
kranji 1	I'm at Kranji Camp 2 OPS Room
ns life 1	@ashleysleeps wah . Not stressfull ah with ns life .
ippt 1	Ippt then test ...
nee soon camp 1	.. ( @ Nee Soon Camp in Singapore )
sungei gedong camp 1	when boredom strikes and flannelette is the only thing available @ Sungei Gedong Camp
safti 1	Safti mi birthday
national service resort country club 1	At my baby cousin baby shower @ National Service Resort Country Club
enlistment 2	happy enlistment tmr brother love u slut see u soon @MRJMaier
navy 1	Navy ? Guards ? Artillery ?
platoon 2	Congrats to my 11.5 year classmate , bmt coy mate , sispec platoon mate , random helicopter insertion
ord 1	After ORD i will be back : P ( @ Marina Bay Sands Casino w / 3 others )
national service resort country club 1	#selamatpengantinbaru #cousin #singapore #nsrcc @ National Service Resort Country Club
cadet 1	Saw my fellow volunteers posting SYFOC ' 12 photos , so here I go too ! #syfoc12 #parade #ug #cadet #npcc
bookout 2	Can't wait to bookout .
cadets 1	wake up call @ 3am for this cadets ... torture till tmr morning just to get a beret ... i bought mine at e-mart without suffering keke
cadet 0	Fucking dig out the cutlery from the waste . You fucking understand me , cadet ?
saf 0	Saf recruits are a bunch of fucking wussies . Always complaining about stupid dumb shit . This is why NS is needed to toughen you softies up .
platoon 1	Kimak platoon name hades
stagmont 1	Advance in review order #signal50 #speedthroughskill @ Stagmont Camp
ocs 1	@ruihongg7 isn't ocs much more worst than mine ? Hahahah
bookout 2	Well spent bookout hehe
ippt 1	Note to self : I shall not attempt ippt on my 3rd am shift .
field camp 1	Field camp tomorrow
saf 1	SAF camps ? No more smoking yellow box ? Wow radical this parliament
bookout 1	2 m9re days to last bookout !
ord 1	@ash_xcxx ok , ok , who asked you to lol at the extension of my ord date ?
enlistment 1	Abang enlistment day . See you in two weeks @ Amoy Quee Camp
ord 1	I have nothing to look forward in life except for ORD which is 10 months away .
platoon 2	First ever Platoon Cohesion ! Gotta say I enjoyed it a lot . Can't
bedok camp 1	duty calls . @ Bedok Camp 2 ( Home of the Elite Guards )
maju camp 1	I'm ( @ Maju Camp in Singapore )
tekong 1	I guess he reach tekong already .
tekong 1	7 days in tekong left .
ord 1	5 more months to ORD .. 5 more months of NS allowances . Sept onwards I'll be on my own lo ... So fast !
